demand,time
10941.44,2025-07-25 09:00:00
10879.64,2025-07-25 09:15:00
10677.45,2025-07-25 09:30:00
10568.81,2025-07-25 09:45:00
10462.15,2025-07-25 10:00:00
10237.15,2025-07-25 10:15:00
9993.46,2025-07-25 10:30:00
9718.22,2025-07-25 10:45:00
9561.23,2025-07-25 11:00:00
9388.36,2025-07-25 11:15:00
9220.1,2025-07-25 11:30:00
9067.06,2025-07-25 11:45:00
8950.94,2025-07-25 12:00:00
8819.13,2025-07-25 12:15:00
8734.33,2025-07-25 12:30:00
8459.86,2025-07-25 12:45:00
8270.59,2025-07-25 13:00:00
8217.03,2025-07-25 13:15:00
8163.04,2025-07-25 13:30:00
8080.64,2025-07-25 13:45:00
7991.45,2025-07-25 14:00:00
7840.06,2025-07-25 14:15:00
7731.02,2025-07-25 14:30:00
7670.39,2025-07-25 14:45:00
7498.41,2025-07-25 15:00:00
7268.03,2025-07-25 15:15:00
6975.44,2025-07-25 15:30:00
6711.16,2025-07-25 15:45:00
6578.83,2025-07-25 16:00:00
6474.42,2025-07-25 16:15:00
6562.17,2025-07-25 16:30:00
6740.67,2025-07-25 16:45:00
6854.1,2025-07-25 17:00:00
6841.09,2025-07-25 17:15:00
6949.0,2025-07-25 17:30:00
7084.59,2025-07-25 17:45:00
7310.99,2025-07-25 18:00:00
7666.51,2025-07-25 18:15:00
7967.69,2025-07-25 18:30:00
8142.82,2025-07-25 18:45:00
8348.17,2025-07-25 19:00:00
8633.14,2025-07-25 19:15:00
9040.52,2025-07-25 19:30:00
9420.11,2025-07-25 19:45:00
9757.77,2025-07-25 20:00:00
10071.86,2025-07-25 20:15:00
10369.42,2025-07-25 20:30:00
10637.38,2025-07-25 20:45:00
10831.33,2025-07-25 21:00:00
10994.5,2025-07-25 21:15:00
11145.8,2025-07-25 21:30:00
11304.02,2025-07-25 21:45:00
11366.24,2025-07-25 22:00:00
11444.22,2025-07-25 22:15:00
11467.27,2025-07-25 22:30:00
11429.28,2025-07-25 22:45:00
11351.29,2025-07-25 23:00:00
11318.57,2025-07-25 23:15:00
11364.45,2025-07-25 23:30:00
11362.63,2025-07-25 23:45:00
11367.37,2025-07-26 00:00:00
11315.49,2025-07-26 00:15:00
11264.44,2025-07-26 00:30:00
11221.26,2025-07-26 00:45:00
11170.12,2025-07-26 01:00:00
11044.27,2025-07-26 01:15:00
10946.93,2025-07-26 01:30:00
10916.9,2025-07-26 01:45:00
10949.07,2025-07-26 02:00:00
10939.18,2025-07-26 02:15:00
10852.86,2025-07-26 02:30:00
10804.63,2025-07-26 02:45:00
10778.51,2025-07-26 03:00:00
10740.3,2025-07-26 03:15:00
10658.31,2025-07-26 03:30:00
10598.7,2025-07-26 03:45:00
10534.19,2025-07-26 04:00:00
10487.72,2025-07-26 04:15:00
10470.65,2025-07-26 04:30:00
10411.48,2025-07-26 04:45:00
10394.05,2025-07-26 05:00:00
10417.93,2025-07-26 05:15:00
10448.61,2025-07-26 05:30:00
10466.3,2025-07-26 05:45:00
10430.89,2025-07-26 06:00:00
10345.65,2025-07-26 06:15:00
10172.67,2025-07-26 06:30:00
9992.09,2025-07-26 06:45:00
9838.73,2025-07-26 07:00:00
9517.86,2025-07-26 07:15:00
9060.97,2025-07-26 07:30:00
8677.31,2025-07-26 07:45:00
8426.85,2025-07-26 08:00:00
8081.43,2025-07-26 08:15:00
7697.24,2025-07-26 08:30:00
7442.2,2025-07-26 08:45:00
7109.5,2025-07-26 09:00:00
6660.59,2025-07-26 09:15:00
6149.86,2025-07-26 09:30:00
5636.94,2025-07-26 09:45:00
5090.61,2025-07-26 10:00:00
4589.44,2025-07-26 10:15:00
4167.53,2025-07-26 10:30:00
3880.05,2025-07-26 10:45:00
3757.79,2025-07-26 11:00:00
3494.4,2025-07-26 11:15:00
2824.36,2025-07-26 11:30:00
2417.27,2025-07-26 11:45:00
2251.28,2025-07-26 12:00:00
2332.11,2025-07-26 12:15:00
2525.24,2025-07-26 12:30:00
2605.18,2025-07-26 12:45:00
2714.84,2025-07-26 13:00:00
2876.36,2025-07-26 13:15:00
3028.76,2025-07-26 13:30:00
3241.98,2025-07-26 13:45:00
3633.26,2025-07-26 14:00:00
4019.58,2025-07-26 14:15:00
4400.17,2025-07-26 14:30:00
4591.03,2025-07-26 14:45:00
4697.0,2025-07-26 15:00:00
4746.7,2025-07-26 15:15:00
4921.7,2025-07-26 15:30:00
5158.84,2025-07-26 15:45:00
5461.05,2025-07-26 16:00:00
5800.04,2025-07-26 16:15:00
6193.31,2025-07-26 16:30:00
6536.19,2025-07-26 16:45:00
6897.09,2025-07-26 17:00:00
7266.99,2025-07-26 17:15:00
7732.96,2025-07-26 17:30:00
8180.9,2025-07-26 17:45:00
8531.52,2025-07-26 18:00:00
8833.61,2025-07-26 18:15:00
9062.17,2025-07-26 18:30:00
9251.94,2025-07-26 18:45:00
9414.6,2025-07-26 19:00:00
9611.83,2025-07-26 19:15:00
9885.57,2025-07-26 19:30:00
10118.66,2025-07-26 19:45:00
10353.23,2025-07-26 20:00:00
10473.85,2025-07-26 20:15:00
10493.09,2025-07-26 20:30:00
10548.74,2025-07-26 20:45:00
10606.05,2025-07-26 21:00:00
10687.1,2025-07-26 21:15:00
10701.48,2025-07-26 21:30:00
10789.45,2025-07-26 21:45:00
10863.81,2025-07-26 22:00:00
10966.13,2025-07-26 22:15:00
11033.99,2025-07-26 22:30:00
11057.17,2025-07-26 22:45:00
10991.79,2025-07-26 23:00:00
10901.93,2025-07-26 23:15:00
10891.66,2025-07-26 23:30:00
10854.98,2025-07-26 23:45:00
10838.95,2025-07-27 00:00:00
10814.75,2025-07-27 00:15:00
10797.64,2025-07-27 00:30:00
10786.45,2025-07-27 00:45:00
10709.52,2025-07-27 01:00:00
10632.9,2025-07-27 01:15:00
10519.55,2025-07-27 01:30:00
10459.86,2025-07-27 01:45:00
10416.08,2025-07-27 02:00:00
10368.07,2025-07-27 02:15:00
10302.52,2025-07-27 02:30:00
10241.52,2025-07-27 02:45:00
10148.62,2025-07-27 03:00:00
10016.93,2025-07-27 03:15:00
9878.18,2025-07-27 03:30:00
9824.13,2025-07-27 03:45:00
9822.89,2025-07-27 04:00:00
9822.36,2025-07-27 04:15:00
9860.68,2025-07-27 04:30:00
9902.42,2025-07-27 04:45:00
9874.83,2025-07-27 05:00:00
9843.27,2025-07-27 05:15:00
9840.89,2025-07-27 05:30:00
9831.16,2025-07-27 05:45:00
9844.6,2025-07-27 06:00:00
9764.34,2025-07-27 06:15:00
9625.36,2025-07-27 06:30:00
9569.08,2025-07-27 06:45:00
9449.67,2025-07-27 07:00:00
9176.96,2025-07-27 07:15:00
8864.23,2025-07-27 07:30:00
8627.95,2025-07-27 07:45:00
8381.11,2025-07-27 08:00:00
8090.48,2025-07-27 08:15:00
7834.12,2025-07-27 08:30:00
7592.33,2025-07-27 08:45:00
7338.27,2025-07-27 09:00:00
6878.42,2025-07-27 09:15:00
6299.75,2025-07-27 09:30:00
5943.52,2025-07-27 09:45:00
5752.47,2025-07-27 10:00:00
5577.9,2025-07-27 10:15:00
5352.28,2025-07-27 10:30:00
5053.02,2025-07-27 10:45:00
4770.84,2025-07-27 11:00:00
4568.28,2025-07-27 11:15:00
4140.67,2025-07-27 11:30:00
3931.76,2025-07-27 11:45:00
3795.34,2025-07-27 12:00:00
3669.41,2025-07-27 12:15:00
3716.92,2025-07-27 12:30:00
3888.55,2025-07-27 12:45:00
3962.23,2025-07-27 13:00:00
3992.28,2025-07-27 13:15:00
3982.71,2025-07-27 13:30:00
3773.5,2025-07-27 13:45:00
3712.06,2025-07-27 14:00:00
3743.87,2025-07-27 14:15:00
3699.99,2025-07-27 14:30:00
3628.3,2025-07-27 14:45:00
3580.12,2025-07-27 15:00:00
3672.97,2025-07-27 15:15:00
3824.95,2025-07-27 15:30:00
3926.55,2025-07-27 15:45:00
3900.29,2025-07-27 16:00:00
4025.47,2025-07-27 16:15:00
4284.09,2025-07-27 16:30:00
4564.21,2025-07-27 16:45:00
4875.97,2025-07-27 17:00:00
5419.76,2025-07-27 17:15:00
6061.59,2025-07-27 17:30:00
6554.0,2025-07-27 17:45:00
6879.92,2025-07-27 18:00:00
7195.31,2025-07-27 18:15:00
7523.71,2025-07-27 18:30:00
7815.44,2025-07-27 18:45:00
8060.12,2025-07-27 19:00:00
8281.14,2025-07-27 19:15:00
8503.96,2025-07-27 19:30:00
8605.61,2025-07-27 19:45:00
8734.46,2025-07-27 20:00:00
8950.23,2025-07-27 20:15:00
9249.64,2025-07-27 20:30:00
9481.02,2025-07-27 20:45:00
9655.95,2025-07-27 21:00:00
9879.0,2025-07-27 21:15:00
10142.85,2025-07-27 21:30:00
10289.27,2025-07-27 21:45:00
10375.22,2025-07-27 22:00:00
10459.84,2025-07-27 22:15:00
10625.73,2025-07-27 22:30:00
10634.94,2025-07-27 22:45:00
10597.68,2025-07-27 23:00:00
10456.75,2025-07-27 23:15:00
10435.68,2025-07-27 23:30:00
10413.17,2025-07-27 23:45:00
10360.88,2025-07-28 00:00:00
